id,placement_id,skill_id
1,1,2
2,1,5
3,1,4
4,1,1
5,1,6
6,1,3
7,1,22
8,3,5
9,3,1
10,3,7
11,3,3
12,3,2
13,3,22
14,4,6
15,4,2
16,4,3
17,4,4
18,4,5
19,6,6
20,6,1
21,6,7
22,6,4
23,8,6
24,8,5
25,8,4
26,8,2
27,8,1
28,8,22
29,9,3
30,9,2
31,9,7
32,9,6
33,9,4
34,9,5
35,9,22
36,10,1
37,10,2
38,10,3
39,10,7
40,10,4
41,13,7
42,13,5
43,13,4
44,13,2
45,13,1
46,14,7
47,14,1
48,14,3
49,14,5
50,14,4
51,15,2
52,15,3
53,15,4
54,15,1
55,16,4
56,16,6
57,16,2
58,16,1
59,16,22
60,17,7
61,17,4
62,17,2
63,17,5
64,17,3
65,17,6
66,17,22
67,19,2
68,19,6
69,19,7
70,19,1
71,19,5
72,20,7
73,20,4
74,20,2
75,21,2
76,21,7
77,21,4
78,21,1
79,21,3
80,21,5
81,21,6
82,22,6
83,22,3
84,22,1
85,22,7
86,22,22
87,24,5
88,24,6
89,24,3
90,24,1
91,25,6
92,25,2
93,25,3
94,25,1
95,25,5
96,25,4
97,25,22
98,26,3
99,26,4
100,26,1
101,26,5
102,26,2
103,28,2
104,28,3
105,28,6
106,28,4
107,28,22
108,30,1
109,30,7
110,30,2
111,30,6
112,30,3
113,30,5
114,33,3
115,33,4
116,33,6
117,33,1
118,33,5
119,35,7
120,35,4
121,35,3
122,35,5
123,35,1
124,35,22
125,38,3
126,38,6
127,38,4
128,38,1
129,38,7
130,38,5
131,38,22
132,39,5
133,39,6
134,39,2
135,39,4
136,39,3
137,39,22
138,40,7
139,40,6
140,41,3
141,41,7
142,41,4
143,41,22
144,42,7
145,42,4
146,42,1
147,42,3
148,42,6
149,42,5
150,42,2
151,43,3
152,43,6
153,43,5
154,43,4
155,43,7
156,44,7
157,44,5
158,44,2
159,44,6
160,44,1
161,44,4
162,44,3
163,45,5
164,45,1
165,45,7
166,45,3
167,46,1
168,46,6
169,46,5
170,46,2
171,46,4
172,47,6
173,47,1
174,47,3
175,47,5
176,48,5
177,48,2
178,48,4
179,48,7
180,49,3
181,49,1
182,49,2
183,49,4
184,50,4
185,50,1
186,50,3
187,50,2
188,50,5
189,50,7
190,51,5
191,51,2
192,51,1
193,51,6
194,51,3
195,52,5
196,52,7
197,52,6
198,52,4
199,52,2
200,52,1
201,52,3
202,53,3
203,53,6
204,53,5
205,53,22
206,54,6
207,54,7
208,54,5
209,54,1
210,54,3
211,55,6
212,55,5
213,55,2
214,55,4
215,55,1
216,57,7
217,57,2
218,57,3
219,57,4
220,57,5
221,57,1
222,57,6
223,57,22
224,59,7
225,59,3
226,59,2
227,59,6
228,59,1
229,59,4
230,59,22
231,61,6
232,61,7
233,61,1
234,61,3
235,61,5
236,61,22
237,63,6
238,63,4
239,63,7
240,63,3
241,63,1
242,64,7
243,64,1
244,64,6
245,64,4
246,65,1
247,65,7
248,65,2
249,65,4
250,67,5
251,67,2
252,67,1
253,67,6
254,67,7
255,67,22
256,68,2
257,68,7
258,68,4
259,68,1
260,68,5
261,70,3
262,70,4
263,70,2
264,70,6
265,70,22
266,71,2
267,71,7
268,71,3
269,71,5
270,71,22
271,73,1
272,73,4
273,73,3
274,73,5
275,73,6
276,74,6
277,74,1
278,74,4
279,74,3
280,74,5
281,74,7
282,75,6
283,75,7
284,75,1
285,75,2
286,76,3
287,76,5
288,76,7
289,76,6
290,76,22
291,77,2
292,77,1
293,77,6
294,77,4
295,77,7
296,77,3
297,77,22
298,78,2
299,78,1
300,78,4
301,78,5
302,78,6
303,79,6
304,79,2
305,79,7
306,79,4
307,79,5
308,79,3
309,79,22
310,80,3
311,80,5
312,80,2
313,80,6
314,81,4
315,81,1
316,81,7
317,81,2
318,83,6
319,83,5
320,83,2
321,84,6
322,84,1
323,84,7
324,84,4
325,85,2
326,85,3
327,85,7
328,86,2
329,86,3
330,86,7
331,86,4
332,86,1
333,86,5
334,88,1
335,88,6
336,88,4
337,89,5
338,89,6
339,89,4
340,89,3
341,89,1
342,89,22
343,90,4
344,90,2
345,90,6
346,90,1
347,91,5
348,91,7
349,91,3
350,91,6
351,91,2
352,91,4
353,91,22
354,93,5
355,93,6
356,93,1
357,93,2
358,93,4
359,93,7
360,94,3
361,94,5
362,94,4
363,94,6
364,94,22
365,95,3
366,95,5
367,95,1
368,95,7
369,95,2
370,95,22
371,96,3
372,96,1
373,96,4
374,96,7
375,96,5
376,97,7
377,97,5
378,97,1
379,97,4
380,97,3
381,97,22
382,98,7
383,98,5
384,98,6
385,99,4
386,99,1
387,99,6
388,99,2
389,99,7
390,99,22
391,100,2
392,100,4
393,100,7
394,100,5
395,100,3
396,100,6
397,101,7
398,101,4
399,101,5
400,101,2
401,101,3
402,103,4
403,103,6
404,103,7
405,103,5
406,103,1
407,103,22
408,104,1
409,104,4
410,104,3
411,104,5
412,104,7
413,104,2
414,105,7
415,105,4
416,105,1
417,106,4
418,106,6
419,106,3
420,106,1
421,106,5
422,106,2
423,106,22
424,108,7
425,108,2
426,108,4
427,108,1
428,108,3
429,108,5
430,108,22
431,109,7
432,109,2
433,109,6
434,109,1
435,109,3
436,110,6
437,110,1
438,110,3
439,110,2
440,110,5
441,110,7
442,111,1
443,111,7
444,111,3
445,111,2
446,111,6
447,111,5
448,112,4
449,112,6
450,112,2
451,112,1
452,112,22
453,114,6
454,114,5
455,114,1
456,114,4
457,114,2
458,115,6
459,115,7
460,115,4
461,115,2
462,115,22
463,116,5
464,116,2
465,116,6
466,116,1
467,116,7
468,116,22
469,117,6
470,117,1
471,117,5
472,117,7
473,117,3
474,117,4
475,118,3
476,118,1
477,118,6
478,118,2
479,118,7
480,118,22
481,119,4
482,119,3
483,119,1
484,119,6
485,119,5
486,119,7
487,119,2
488,119,22
489,120,5
490,120,4
491,120,1
492,120,7
493,120,2
494,121,5
495,121,2
496,121,6
497,121,1
498,121,4
499,122,4
500,122,5
501,122,3
502,122,2
503,123,3
504,123,6
505,123,4
506,123,1
507,123,2
508,123,7
509,123,22
510,124,3
511,124,5
512,124,2
513,125,4
514,125,3
515,125,5
516,125,7
517,125,1
518,126,5
519,126,4
520,126,1
521,126,6
522,126,3
523,126,7
524,127,3
525,127,1
526,127,4
527,127,6
528,127,2
529,128,4
530,128,5
531,128,7
532,129,6
533,129,2
534,129,5
535,129,22
536,130,1
537,130,7
538,130,5
539,130,6
540,130,2
541,130,3
542,132,5
543,132,2
544,132,1
545,132,3
546,132,4
547,133,6
548,133,7
549,133,1
550,133,3
551,133,22
552,134,4
553,134,3
554,134,7
555,134,6
556,134,22
557,135,6
558,135,3
559,135,2
560,135,5
561,136,2
562,136,6
563,136,5
564,136,4
565,136,3
566,137,2
567,137,5
568,137,1
569,137,4
570,138,7
571,138,1
572,138,2
573,138,4
574,138,3
575,139,3
576,139,2
577,139,1
578,139,5
579,139,6
580,140,5
581,140,1
582,140,7
583,140,6
584,141,1
585,141,3
586,141,7
587,141,5
588,141,2
589,141,4
590,142,3
591,142,7
592,142,4
593,142,1
594,142,5
595,143,7
596,143,4
597,143,6
598,143,5
599,143,3
600,143,1
601,143,22
602,145,6
603,145,7
604,145,4
605,145,2
606,146,7
607,146,5
608,146,4
609,146,1
610,147,3
611,147,5
612,147,6
613,147,4
614,147,7
615,148,7
616,148,2
617,148,3
618,148,1
619,148,6
620,148,4
621,150,4
622,150,2
623,150,6
624,150,7
625,150,3
626,150,5
627,151,7
628,151,4
629,151,1
630,151,5
631,151,22
632,152,4
633,152,6
634,152,3
635,152,1
636,152,7
637,154,2
638,154,3
639,154,5
640,154,1
641,155,5
642,155,7
643,155,4
644,155,1
645,155,22
646,156,1
647,156,6
648,156,7
649,156,2
650,156,3
651,156,5
652,157,1
653,157,5
654,157,7
655,157,6
656,158,3
657,158,6
658,158,2
659,158,7
660,158,4
661,159,2
662,159,7
663,159,5
664,159,3
665,159,1
666,159,22
667,160,1
668,160,2
669,160,3
670,160,4
671,161,7
672,161,2
673,161,5
674,161,6
675,161,4
676,162,5
677,162,7
678,162,1
679,162,4
680,163,4
681,163,1
682,163,6
683,165,6
684,165,2
685,165,4
686,165,3
687,165,5
688,165,1
689,166,6
690,166,7
691,166,3
692,166,1
693,166,22
694,167,2
695,167,4
696,167,5
697,167,1
698,168,7
699,168,1
700,168,3
701,168,4
702,168,22
703,169,5
704,169,3
705,169,4
706,169,2
707,169,7
708,170,6
709,170,1
710,170,7
711,170,2
712,170,4
713,170,3
714,170,5
715,170,22
716,171,7
717,171,5
718,171,6
719,171,2
720,172,1
721,172,5
722,172,7
723,172,3
724,172,22
725,176,6
726,176,7
727,176,4
728,176,1
729,176,3
730,177,3
731,177,6
732,177,1
733,177,5
734,178,6
735,178,3
736,178,2
737,178,4
738,178,5
739,178,22
740,179,5
741,179,7
742,179,3
743,179,6
744,179,1
745,179,2
746,179,4
747,180,3
748,180,7
749,180,6
750,180,5
751,180,4
752,181,2
753,181,6
754,181,3
755,181,4
756,183,3
757,183,2
758,183,7
759,183,1
760,183,4
761,184,2
762,184,3
763,184,1
764,184,4
765,184,6
766,184,5
767,185,2
768,185,6
769,185,4
770,185,1
771,185,5
772,185,3
773,185,7
774,185,22
775,186,6
776,186,2
777,186,4
778,186,5
779,186,1
780,188,6
781,188,5
782,188,2
783,188,3
784,188,1
785,188,4
786,188,22
787,189,3
788,189,1
789,189,4
790,190,2
791,190,3
792,190,1
793,190,4
794,190,5
795,191,2
796,191,5
797,191,1
798,191,6
799,192,6
800,192,2
801,192,5
802,192,4
803,192,1
804,192,3
805,192,7
806,193,3
807,193,7
808,193,4
809,195,7
810,195,3
811,195,22
812,197,7
813,197,5
814,197,6
815,197,1
816,197,4
817,197,2
818,197,22
819,198,1
820,198,3
821,198,4
822,198,6
823,198,5
824,199,2
825,199,3
826,199,1
827,199,6
828,199,4
829,201,1
830,201,2
831,201,6
832,201,4
833,201,3
834,201,7
835,201,22
836,203,5
837,203,6
838,203,2
839,203,4
840,203,1
841,203,3
842,203,7
843,204,4
844,204,7
845,204,3
846,204,6
847,204,5
848,204,2
849,204,1
850,205,2
851,205,6
852,205,7
853,205,5
854,205,1
855,205,22
856,207,4
857,207,7
858,207,3
859,207,5
860,207,2
861,207,1
862,208,1
863,208,3
864,208,6
865,208,2
866,209,6
867,209,4
868,209,3
869,209,2
870,209,1
871,210,5
872,210,3
873,210,7
874,210,2
875,210,22
876,211,1
877,211,7
878,211,3
879,211,5
880,211,2
881,211,4
882,213,6
883,213,4
884,213,7
885,213,2
886,213,3
887,213,22
888,214,7
889,214,2
890,214,6
891,214,3
892,215,7
893,215,3
894,215,1
895,216,7
896,216,1
897,216,2
898,216,6
899,216,5
900,217,1
901,217,7
902,217,5
903,217,3
904,217,6
905,217,2
906,218,2
907,218,1
908,218,4
909,218,6
910,218,5
911,218,7
912,218,22
913,219,2
914,219,7
915,219,5
916,219,3
917,220,4
918,220,2
919,220,5
920,220,6
921,220,3
922,220,22
923,221,6
924,221,5
925,221,4
926,221,3
927,221,2
928,221,1
929,221,22
930,222,5
931,222,4
932,222,2
933,222,3
934,222,1
935,222,7
936,223,3
937,223,4
938,223,2
939,223,7
940,223,6
941,223,1
942,223,22
943,225,1
944,225,7
945,225,5
946,225,4
947,226,3
948,226,5
949,226,1
950,226,4
951,226,2
952,227,3
953,227,2
954,227,5
955,227,7
956,227,6
957,229,7
958,229,1
959,229,6
960,229,2
961,229,4
962,229,3
963,231,5
964,231,2
965,231,7
966,231,3
967,231,4
968,232,4
969,232,6
970,232,1
971,232,7
972,232,2
973,232,3
974,233,5
975,233,6
976,233,3
977,233,4
978,233,1
979,234,6
980,234,1
981,234,3
982,234,5
983,234,22
984,235,1
985,235,5
986,235,3
987,236,6
988,236,2
989,236,1
990,236,7
991,237,1
992,237,3
993,237,2
994,237,4
995,237,7
996,238,2
997,238,7
998,238,3
999,238,4
1000,238,6
1001,238,22
1002,239,2
1003,239,6
1004,239,1
1005,239,5
1006,239,3
1007,240,2
1008,240,6
1009,240,4
1010,240,7
1011,240,5
1012,241,5
1013,241,1
1014,241,3
1015,241,2
1016,241,6
1017,242,1
1018,242,7
1019,242,4
1020,242,6
1021,242,2
