trainee_id,name_or_anon_id,dob_year,gender,category,district_id,consent_flag,consent_ts
1,TR-00001,2005,Male,ST,2,1,2025-01-22
2,TR-00002,2000,Female,SC,3,1,2025-01-22
3,TR-00003,2006,Female,General,3,1,2025-01-22
4,TR-00004,1994,Female,ST,5,1,2025-01-22
5,TR-00005,1998,Other,ST,2,1,2025-01-22
6,TR-00006,1997,Male,ST,4,1,2025-01-22
7,TR-00007,1993,Female,General,5,1,2025-01-22
8,TR-00008,2005,Female,ST,4,1,2025-01-22
9,TR-00009,2002,Female,OBC,2,1,2025-01-22
10,TR-00010,1995,Male,SC,3,1,2025-01-22
11,TR-00011,1998,Female,General,4,1,2025-01-22
12,TR-00012,2007,Other,ST,4,1,2025-01-22
13,TR-00013,2007,Female,SC,2,1,2025-01-22
14,TR-00014,2002,Female,ST,1,1,2025-01-22
15,TR-00015,2006,Female,ST,4,1,2025-01-22
16,TR-00016,1995,Other,SC,4,1,2025-01-22
17,TR-00017,2003,Other,OBC,4,1,2025-01-22
18,TR-00018,2004,Female,ST,5,1,2025-01-22
19,TR-00019,2005,Other,OBC,5,1,2025-01-22
20,TR-00020,2003,Other,OBC,4,1,2025-01-22
21,TR-00021,1998,Female,ST,4,1,2025-01-22
22,TR-00022,1997,Other,General,3,1,2025-01-22
23,TR-00023,1997,Female,SC,1,1,2025-01-22
24,TR-00024,1998,Male,OBC,5,1,2025-01-22
25,TR-00025,2002,Male,General,4,1,2025-01-22
26,TR-00026,2006,Male,ST,5,1,2025-01-22
27,TR-00027,1994,Other,ST,3,1,2025-01-22
28,TR-00028,2003,Male,General,3,1,2025-01-22
29,TR-00029,1998,Other,General,2,1,2025-01-22
30,TR-00030,1992,Female,OBC,2,1,2025-01-22
31,TR-00031,1993,Male,SC,4,1,2025-01-22
32,TR-00032,1995,Male,ST,1,1,2025-01-22
33,TR-00033,1991,Male,General,5,1,2025-01-22
34,TR-00034,1990,Other,ST,5,1,2025-01-22
35,TR-00035,2005,Other,SC,2,1,2025-01-22
36,TR-00036,2004,Other,OBC,2,1,2025-01-22
37,TR-00037,2003,Female,SC,2,1,2025-01-22
38,TR-00038,2005,Female,OBC,2,1,2025-01-22
39,TR-00039,1993,Other,ST,4,1,2025-01-22
40,TR-00040,1992,Male,SC,2,1,2025-01-22
41,TR-00041,1999,Male,SC,1,1,2025-01-22
42,TR-00042,1998,Male,SC,4,1,2025-01-22
43,TR-00043,1998,Other,OBC,2,1,2025-01-22
44,TR-00044,2004,Female,OBC,1,1,2025-01-22
45,TR-00045,1999,Other,ST,4,1,2025-01-22
46,TR-00046,2007,Other,SC,3,1,2025-01-22
47,TR-00047,2004,Female,OBC,1,1,2025-01-22
48,TR-00048,1995,Male,General,1,1,2025-01-22
49,TR-00049,1994,Male,SC,1,1,2025-01-22
50,TR-00050,1994,Other,General,3,1,2025-01-22
51,TR-00051,1990,Other,SC,5,1,2025-01-22
52,TR-00052,2000,Male,General,3,1,2025-01-22
53,TR-00053,2003,Male,ST,4,1,2025-01-22
54,TR-00054,1997,Other,SC,5,1,2025-01-22
55,TR-00055,2003,Female,ST,1,1,2025-01-22
56,TR-00056,1992,Other,General,2,1,2025-01-22
57,TR-00057,1998,Other,General,3,1,2025-01-22
58,TR-00058,1991,Female,ST,2,1,2025-01-22
59,TR-00059,1999,Other,ST,3,1,2025-01-22
60,TR-00060,2006,Other,General,1,1,2025-01-22
61,TR-00061,1999,Male,ST,4,1,2025-01-22
62,TR-00062,1991,Other,ST,3,1,2025-01-22
63,TR-00063,1994,Female,SC,2,1,2025-01-22
