verification_id,placement_id,method,verified_by,verified_on,result
1,1,employer_call,follow_up_team,2025-09-12,confirmed
2,3,employer_call,follow_up_team,2025-09-05,confirmed
3,3,employer_call,follow_up_team,2026-06-02,confirmed
4,4,employer_call,follow_up_team,2025-12-26,confirmed
5,4,employer_call,follow_up_team,2026-06-24,confirmed
6,6,employer_call,follow_up_team,2025-10-24,confirmed
7,8,employer_call,follow_up_team,2025-11-23,confirmed
8,9,employer_call,follow_up_team,2026-06-21,confirmed
9,13,employer_call,follow_up_team,2025-09-03,confirmed
10,14,employer_call,follow_up_team,2025-08-17,confirmed
11,14,employer_call,follow_up_team,2025-11-15,confirmed
12,15,employer_call,follow_up_team,2025-09-26,confirmed
13,16,employer_call,follow_up_team,2025-11-28,confirmed
14,19,employer_call,follow_up_team,2025-09-27,confirmed
15,20,employer_call,follow_up_team,2025-09-09,confirmed
16,20,employer_call,follow_up_team,2025-12-08,confirmed
17,20,employer_call,follow_up_team,2026-06-06,confirmed
18,21,employer_call,follow_up_team,2025-10-20,confirmed
19,22,employer_call,follow_up_team,2025-09-02,confirmed
20,22,employer_call,follow_up_team,2026-05-30,confirmed
21,24,employer_call,follow_up_team,2025-09-01,confirmed
22,24,employer_call,follow_up_team,2025-11-30,confirmed
23,24,employer_call,follow_up_team,2026-05-29,confirmed
24,25,employer_call,follow_up_team,2025-11-19,confirmed
25,25,employer_call,follow_up_team,2026-05-18,confirmed
26,26,employer_call,follow_up_team,2025-08-12,confirmed
27,26,employer_call,follow_up_team,2025-11-10,confirmed
28,28,employer_call,follow_up_team,2025-09-18,confirmed
29,28,employer_call,follow_up_team,2026-06-15,confirmed
30,30,employer_call,follow_up_team,2025-07-25,confirmed
31,30,employer_call,follow_up_team,2026-04-21,confirmed
32,33,employer_call,follow_up_team,2025-12-13,confirmed
33,38,employer_call,follow_up_team,2025-12-25,confirmed
34,39,employer_call,follow_up_team,2025-08-12,confirmed
35,39,employer_call,follow_up_team,2025-11-10,confirmed
36,40,employer_call,follow_up_team,2026-05-31,confirmed
37,41,employer_call,follow_up_team,2025-10-22,confirmed
38,41,employer_call,follow_up_team,2026-04-20,confirmed
39,43,employer_call,follow_up_team,2025-08-01,confirmed
40,43,employer_call,follow_up_team,2025-10-30,confirmed
41,43,employer_call,follow_up_team,2026-04-28,confirmed
42,44,employer_call,follow_up_team,2025-11-18,confirmed
43,46,employer_call,follow_up_team,2025-08-01,confirmed
44,46,employer_call,follow_up_team,2025-10-30,confirmed
45,46,employer_call,follow_up_team,2026-04-28,confirmed
46,48,employer_call,follow_up_team,2025-10-21,confirmed
47,49,employer_call,follow_up_team,2025-11-23,confirmed
48,50,employer_call,follow_up_team,2025-12-10,confirmed
49,50,employer_call,follow_up_team,2026-06-08,confirmed
50,51,employer_call,follow_up_team,2026-05-04,confirmed
51,53,employer_call,follow_up_team,2025-09-07,confirmed
52,54,employer_call,follow_up_team,2025-11-29,confirmed
53,54,employer_call,follow_up_team,2026-05-28,confirmed
54,55,employer_call,follow_up_team,2025-08-09,confirmed
55,57,employer_call,follow_up_team,2025-08-04,confirmed
56,57,employer_call,follow_up_team,2025-11-02,confirmed
57,57,employer_call,follow_up_team,2026-05-01,confirmed
58,61,employer_call,follow_up_team,2025-10-20,confirmed
59,61,employer_call,follow_up_team,2026-04-18,confirmed
