wage_id,placement_id,employment_history_id,recorded_date,wage_amount,wage_unit,source
1,1,1,2025-06-14,14000.0,monthly,dashboard
2,1,1,2025-09-12,14500.0,monthly,follow_up
3,1,1,2025-12-11,15300.0,monthly,follow_up
4,1,1,2026-06-09,16700.0,monthly,follow_up
5,3,2,2025-06-07,18600.0,monthly,dashboard
6,3,2,2025-09-05,18800.0,monthly,follow_up
7,3,2,2026-06-02,20300.0,monthly,follow_up
8,4,3,2025-06-29,15600.0,monthly,dashboard
9,4,3,2025-09-27,16500.0,monthly,follow_up
10,4,3,2025-12-26,17800.0,monthly,follow_up
11,4,3,2026-06-24,19600.0,monthly,follow_up
12,6,4,2025-04-27,17800.0,monthly,dashboard
13,6,4,2025-10-24,18800.0,monthly,follow_up
14,8,5,2025-05-27,18800.0,monthly,dashboard
15,8,5,2025-08-25,19800.0,monthly,follow_up
16,8,5,2025-11-23,20600.0,monthly,follow_up
17,8,5,2026-05-22,22000.0,monthly,follow_up
18,9,6,2025-06-26,16900.0,monthly,dashboard
19,9,6,2025-09-24,17900.0,monthly,follow_up
20,9,6,2025-12-23,18900.0,monthly,follow_up
21,9,6,2026-06-21,19900.0,monthly,follow_up
22,10,7,2025-05-29,13900.0,monthly,dashboard
23,10,7,2025-08-27,14300.0,monthly,follow_up
24,10,7,2025-11-25,15600.0,monthly,follow_up
25,13,8,2025-06-05,18900.0,monthly,dashboard
26,13,8,2025-09-03,20300.0,monthly,follow_up
27,13,8,2025-12-02,22300.0,monthly,follow_up
28,13,8,2026-05-31,22900.0,monthly,follow_up
29,14,9,2025-05-19,17100.0,monthly,dashboard
30,14,9,2025-08-17,18100.0,monthly,follow_up
31,14,9,2025-11-15,17700.0,monthly,follow_up
32,14,9,2026-05-14,17900.0,monthly,follow_up
33,15,10,2025-06-28,18500.0,monthly,dashboard
34,15,10,2025-09-26,18100.0,monthly,follow_up
35,15,10,2025-12-25,18700.0,monthly,follow_up
36,15,10,2026-06-23,19100.0,monthly,follow_up
37,16,11,2025-06-01,17000.0,monthly,dashboard
38,16,11,2025-08-30,17900.0,monthly,follow_up
39,16,11,2025-11-28,18800.0,monthly,follow_up
40,16,11,2026-05-27,19300.0,monthly,follow_up
41,17,12,2025-04-21,14500.0,monthly,dashboard
42,17,12,2025-07-20,14800.0,monthly,follow_up
43,17,12,2025-10-18,14800.0,monthly,follow_up
44,17,12,2026-04-16,15100.0,monthly,follow_up
45,19,13,2025-06-29,16300.0,monthly,dashboard
46,19,13,2025-09-27,17300.0,monthly,follow_up
47,19,13,2025-12-26,17900.0,monthly,follow_up
48,20,14,2025-06-11,16200.0,monthly,dashboard
49,20,14,2025-09-09,16700.0,monthly,follow_up
50,20,14,2025-12-08,17200.0,monthly,follow_up
51,20,14,2026-06-06,17300.0,monthly,follow_up
52,21,15,2025-04-23,17600.0,monthly,dashboard
53,21,15,2025-07-22,18700.0,monthly,follow_up
54,21,15,2025-10-20,19500.0,monthly,follow_up
55,21,15,2026-04-18,21200.0,monthly,follow_up
56,22,16,2025-06-04,15500.0,monthly,dashboard
57,22,16,2025-09-02,15600.0,monthly,follow_up
58,22,16,2025-12-01,17100.0,monthly,follow_up
59,22,16,2026-05-30,18700.0,monthly,follow_up
60,24,17,2025-06-03,14100.0,monthly,dashboard
61,24,17,2025-09-01,14400.0,monthly,follow_up
62,24,17,2025-11-30,14900.0,monthly,follow_up
63,24,17,2026-05-29,15600.0,monthly,follow_up
64,25,18,2025-05-23,17400.0,monthly,dashboard
65,25,18,2025-08-21,18500.0,monthly,follow_up
66,25,18,2025-11-19,18800.0,monthly,follow_up
67,25,18,2026-05-18,20000.0,monthly,follow_up
68,26,19,2025-05-14,16500.0,monthly,dashboard
69,26,19,2025-08-12,17800.0,monthly,follow_up
70,26,19,2025-11-10,17500.0,monthly,follow_up
71,26,19,2026-05-09,18500.0,monthly,follow_up
72,28,20,2025-06-20,14400.0,monthly,dashboard
73,28,20,2025-09-18,14400.0,monthly,follow_up
74,28,20,2026-06-15,14600.0,monthly,follow_up
75,30,21,2025-04-26,17600.0,monthly,dashboard
76,30,21,2025-07-25,18100.0,monthly,follow_up
77,30,21,2025-10-23,18200.0,monthly,follow_up
78,30,21,2026-04-21,19600.0,monthly,follow_up
79,33,22,2025-06-16,16700.0,monthly,dashboard
80,33,22,2025-09-14,17200.0,monthly,follow_up
81,33,22,2025-12-13,19200.0,monthly,follow_up
82,35,23,2025-04-29,14800.0,monthly,dashboard
83,35,23,2025-07-28,15300.0,monthly,follow_up
84,35,23,2025-10-26,16100.0,monthly,follow_up
85,35,23,2026-04-24,17200.0,monthly,follow_up
86,38,24,2025-06-28,17100.0,monthly,dashboard
87,38,24,2025-09-26,19300.0,monthly,follow_up
88,38,24,2025-12-25,21300.0,monthly,follow_up
89,39,25,2025-05-14,15800.0,monthly,dashboard
90,39,25,2025-08-12,16800.0,monthly,follow_up
91,39,25,2025-11-10,17500.0,monthly,follow_up
92,39,25,2026-05-09,18100.0,monthly,follow_up
93,40,26,2025-06-05,13000.0,monthly,dashboard
94,40,26,2025-09-03,12900.0,monthly,follow_up
95,40,26,2025-12-02,13700.0,monthly,follow_up
96,40,26,2026-05-31,13400.0,monthly,follow_up
97,41,27,2025-04-25,13800.0,monthly,dashboard
98,41,27,2025-07-24,14000.0,monthly,follow_up
99,41,27,2025-10-22,14500.0,monthly,follow_up
100,41,27,2026-04-20,15900.0,monthly,follow_up
101,42,28,2025-06-10,17500.0,monthly,dashboard
102,42,28,2025-09-08,18400.0,monthly,follow_up
103,42,28,2025-12-07,18700.0,monthly,follow_up
104,42,28,2026-06-05,20000.0,monthly,follow_up
105,43,29,2025-05-03,13900.0,monthly,dashboard
106,43,29,2025-08-01,15100.0,monthly,follow_up
107,43,29,2025-10-30,16300.0,monthly,follow_up
108,43,29,2026-04-28,17200.0,monthly,follow_up
109,44,30,2025-05-22,16600.0,monthly,dashboard
110,44,30,2025-08-20,17500.0,monthly,follow_up
111,44,30,2025-11-18,19400.0,monthly,follow_up
112,44,30,2026-05-17,21300.0,monthly,follow_up
113,45,31,2025-06-06,18800.0,monthly,dashboard
114,45,31,2025-12-03,19700.0,monthly,follow_up
115,45,31,2026-06-01,20800.0,monthly,follow_up
116,46,32,2025-05-03,14400.0,monthly,dashboard
117,46,32,2025-08-01,15000.0,monthly,follow_up
118,46,32,2025-10-30,15900.0,monthly,follow_up
119,46,32,2026-04-28,16800.0,monthly,follow_up
120,47,33,2025-06-14,16500.0,monthly,dashboard
121,47,33,2025-09-12,17300.0,monthly,follow_up
122,47,33,2025-12-11,18400.0,monthly,follow_up
123,47,33,2026-06-09,20300.0,monthly,follow_up
124,48,34,2025-04-24,13900.0,monthly,dashboard
125,48,34,2025-07-23,15100.0,monthly,follow_up
