trainee_id,district,state,gender,category,dob_year,consent_flag,course,course_sector,provider,training_start_date,training_end_date,completion_status,assessment_score,certification_id,placement_type,job_title,job_sector,employer,placement_start_date,verification_status,non_placement_reason,employment_status,attrition_reason,initial_wage,wage_3_month,wage_6_month,wage_12_month
1,Ghaziabad,Uttar Pradesh,Male,ST,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,52.4,CERT-1,wage_employment,IT/ITES Associate,IT/ITES,"Bala, Issac and Saini",2025-06-14,confirmed,,active,,14000.0,14500.0,15300.0,16700.0
2,Gurugram,Haryana,Female,SC,2000,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,69.0,CERT-2,not_placed,,,,,unverified,Felt underprepared / skill mismatch,,,,,,
3,Gurugram,Haryana,Female,General,2006,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,60.8,CERT-3,wage_employment,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-06-07,unverified,,active,,18600.0,18800.0,20300.0,
4,Jaipur,Rajasthan,Female,ST,1994,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,53.8,CERT-4,wage_employment,IT/ITES Associate,IT/ITES,Kapoor and Sons,2025-06-29,unverified,,active,,15600.0,16500.0,17800.0,19600.0
5,Ghaziabad,Uttar Pradesh,Other,ST,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,52.0,CERT-5,not_placed,,,,,unverified,Family responsibilities / not permitted to work,,,,,,
6,Faridabad,Haryana,Male,ST,1997,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,50.1,CERT-6,wage_employment,IT/ITES Helper (low-relevance role),IT/ITES,Balan Inc,2025-04-27,unverified,,ended,Moved to a better opportunity,17800.0,18800.0,,
7,Jaipur,Rajasthan,Female,General,1993,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,94.1,CERT-7,not_placed,,,,,unverified,Wage offered too low,,,,,,
8,Faridabad,Haryana,Female,ST,2005,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,53.7,CERT-8,wage_employment,IT/ITES Associate,IT/ITES,Balan Inc,2025-05-27,confirmed,,active,,18800.0,19800.0,20600.0,22000.0
9,Ghaziabad,Uttar Pradesh,Female,OBC,2002,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,47.1,CERT-9,self_employment,IT/ITES Associate,IT/ITES,,2025-06-26,confirmed,,active,,16900.0,17900.0,18900.0,19900.0
10,Gurugram,Haryana,Male,SC,1995,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,97.3,CERT-10,wage_employment,IT/ITES Associate,IT/ITES,Kaul PLC,2025-05-29,unverified,,active,,13900.0,14300.0,15600.0,
11,Faridabad,Haryana,Female,General,1998,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,51.9,CERT-11,not_placed,,,,,unverified,Wage offered too low,,,,,,
12,Faridabad,Haryana,Other,ST,2007,1,Data Entry & Basic IT,IT/ITES,Ghaziabad Skill Centre 2,2025-01-22,2025-04-16,completed,50.9,CERT-12,not_placed,,,,,unverified,Pursuing further education,,,,,,
