cohort_id,course_id,provider_id,batch_start,batch_end
1,1,2,2025-01-22,2025-04-16
2,1,2,2024-10-27,2025-01-19
3,2,10,2025-01-05,2025-03-30
4,2,10,2024-07-15,2024-10-07
5,3,2,2024-02-16,2024-05-10
6,3,4,2024-10-23,2025-01-15
7,4,2,2024-08-26,2024-11-18
8,4,2,2025-01-24,2025-04-18
9,5,5,2025-04-09,2025-07-02
10,5,6,2024-06-15,2024-09-07
11,6,6,2024-12-29,2025-03-23
12,6,4,2024-09-30,2024-12-23
13,7,2,2024-06-24,2024-09-16
14,7,9,2024-09-07,2024-11-30
15,8,3,2025-04-18,2025-07-11
16,8,7,2024-10-03,2024-12-26
17,9,9,2024-08-12,2024-11-04
18,9,6,2024-02-27,2024-05-21
19,10,4,2024-02-02,2024-04-26
20,10,6,2025-02-14,2025-05-09
21,11,5,2024-03-08,2024-05-31
22,11,4,2024-11-18,2025-02-10
