history_id,placement_id,status,period_start,period_end,employer_id,job_title,exit_reason_code,exit_reason_text
1,1,active,2025-06-14,,6.0,IT/ITES Associate,,
2,3,active,2025-06-07,,2.0,IT/ITES Associate,,
3,4,active,2025-06-29,,2.0,IT/ITES Associate,,
4,6,ended,2025-04-27,2026-04-22,4.0,IT/ITES Helper (low-relevance role),better_opportunity,Moved to a better opportunity
5,8,active,2025-05-27,,4.0,IT/ITES Associate,,
6,9,active,2025-06-26,,,IT/ITES Associate,,
7,10,active,2025-05-29,,5.0,IT/ITES Associate,,
8,13,active,2025-06-05,,1.0,IT/ITES Associate,,
9,14,active,2025-05-19,,2.0,IT/ITES Associate,,
10,15,active,2025-06-28,,5.0,IT/ITES Associate,,
11,16,active,2025-06-01,,5.0,IT/ITES Helper (low-relevance role),,
12,17,active,2025-04-21,,6.0,IT/ITES Associate,,
13,19,ended,2025-06-29,2026-06-24,3.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
14,20,active,2025-06-11,,6.0,IT/ITES Helper (low-relevance role),,
15,21,active,2025-04-23,,2.0,IT/ITES Associate,,
16,22,active,2025-06-04,,1.0,IT/ITES Associate,,
17,24,active,2025-06-03,,3.0,IT/ITES Associate,,
18,25,active,2025-05-23,,3.0,IT/ITES Associate,,
19,26,active,2025-05-14,,3.0,IT/ITES Associate,,
20,28,active,2025-06-20,,4.0,IT/ITES Associate,,
21,30,active,2025-04-26,,1.0,IT/ITES Associate,,
22,33,active,2025-06-16,,,IT/ITES Associate,,
23,35,active,2025-04-29,,,IT/ITES Associate,,
24,38,ended,2025-06-28,2026-06-23,,IT/ITES Associate,location_mismatch,Commute / relocation issues
25,39,active,2025-05-14,,,IT/ITES Associate,,
26,40,active,2025-06-05,,5.0,IT/ITES Helper (low-relevance role),,
27,41,active,2025-04-25,,4.0,IT/ITES Helper (low-relevance role),,
28,42,active,2025-06-10,,,IT/ITES Associate,,
29,43,active,2025-05-03,,1.0,IT/ITES Associate,,
30,44,active,2025-05-22,,,IT/ITES Associate,,
31,45,active,2025-06-06,,4.0,IT/ITES Associate,,
32,46,active,2025-05-03,,4.0,IT/ITES Associate,,
33,47,active,2025-06-14,,3.0,IT/ITES Associate,,
34,48,active,2025-04-24,,6.0,IT/ITES Associate,,
35,49,active,2025-05-27,,1.0,IT/ITES Associate,,
36,50,active,2025-06-13,,6.0,IT/ITES Associate,,
37,51,active,2025-05-09,,6.0,IT/ITES Associate,,
38,52,active,2025-05-27,,3.0,IT/ITES Associate,,
39,53,ended,2025-06-09,2026-06-04,3.0,IT/ITES Helper (low-relevance role),family_reasons,Family circumstances changed
40,54,active,2025-06-02,,6.0,IT/ITES Associate,,
41,55,active,2025-05-11,,2.0,IT/ITES Associate,,
42,57,active,2025-05-06,,,IT/ITES Associate,,
43,59,ended,2025-06-27,2026-06-22,6.0,IT/ITES Associate,location_mismatch,Commute / relocation issues
44,61,active,2025-04-23,,6.0,IT/ITES Associate,,
45,63,active,2025-05-25,,,IT/ITES Associate,,
46,64,active,2025-03-10,,,IT/ITES Associate,,
47,65,active,2025-03-11,,5.0,IT/ITES Helper (low-relevance role),,
48,67,active,2025-02-15,,6.0,IT/ITES Associate,,
49,68,active,2025-04-04,,,IT/ITES Associate,,
50,70,active,2025-04-03,,6.0,IT/ITES Associate,,
51,71,ended,2025-01-30,2026-01-25,1.0,IT/ITES Associate,low_wage,Left due to low wage relative to workload
52,73,active,2025-02-08,,,IT/ITES Associate,,
53,74,active,2025-01-26,,4.0,IT/ITES Associate,,
54,75,active,2025-03-25,,5.0,IT/ITES Associate,,
55,76,active,2025-03-27,,2.0,IT/ITES Associate,,
56,77,active,2025-04-01,,6.0,IT/ITES Associate,,
57,78,active,2025-01-28,,6.0,IT/ITES Associate,,
58,79,active,2025-02-16,,6.0,IT/ITES Associate,,
59,80,active,2025-03-04,,6.0,IT/ITES Associate,,
60,81,active,2025-02-19,,1.0,IT/ITES Associate,,
61,83,active,2025-03-13,,4.0,IT/ITES Helper (low-relevance role),,
62,84,active,2025-02-17,,3.0,IT/ITES Associate,,
63,85,active,2025-03-05,,2.0,IT/ITES Helper (low-relevance role),,
64,86,active,2025-03-25,,5.0,IT/ITES Associate,,
65,88,active,2025-02-17,,2.0,IT/ITES Helper (low-relevance role),,
66,89,active,2025-04-04,,3.0,IT/ITES Associate,,
67,90,ended,2025-01-30,2026-01-25,,IT/ITES Associate,skill_mismatch,Job did not match trained skillset
68,91,active,2025-02-06,,2.0,IT/ITES Associate,,
