followup_id,trainee_id,placement_id,followup_date,scheduled_month,status,employment_status_at_followup,wage_at_followup,notes
1,1,1,2025-09-12,3,completed,employed,14500.0,
2,1,1,2025-12-11,6,completed,employed,15300.0,
3,1,1,2026-06-09,12,completed,employed,16700.0,
4,3,3,2025-09-05,3,completed,employed,18800.0,
5,3,3,2025-12-04,6,missed,,,
6,3,3,2026-06-02,12,completed,employed,20300.0,
7,4,4,2025-09-27,3,completed,employed,16500.0,
8,4,4,2025-12-26,6,completed,employed,17800.0,
9,4,4,2026-06-24,12,completed,employed,19600.0,
10,6,6,2025-07-26,3,missed,,,
11,6,6,2025-10-24,6,completed,employed,18800.0,
12,6,6,2026-04-22,12,completed,unemployed,,Moved to a better opportunity
13,8,8,2025-08-25,3,completed,employed,19800.0,
14,8,8,2025-11-23,6,completed,employed,20600.0,
15,8,8,2026-05-22,12,completed,employed,22000.0,
16,9,9,2025-09-24,3,completed,employed,17900.0,
17,9,9,2025-12-23,6,completed,employed,18900.0,
18,9,9,2026-06-21,12,completed,employed,19900.0,
19,10,10,2025-08-27,3,completed,employed,14300.0,
20,10,10,2025-11-25,6,completed,employed,15600.0,
21,10,10,2026-05-24,12,missed,,,
22,13,13,2025-09-03,3,completed,employed,20300.0,
23,13,13,2025-12-02,6,completed,employed,22300.0,
24,13,13,2026-05-31,12,completed,employed,22900.0,
25,14,14,2025-08-17,3,completed,employed,18100.0,
26,14,14,2025-11-15,6,completed,employed,17700.0,
27,14,14,2026-05-14,12,completed,employed,17900.0,
28,15,15,2025-09-26,3,completed,employed,18100.0,
29,15,15,2025-12-25,6,completed,employed,18700.0,
30,15,15,2026-06-23,12,completed,employed,19100.0,
31,16,16,2025-08-30,3,completed,employed,17900.0,
32,16,16,2025-11-28,6,completed,employed,18800.0,
33,16,16,2026-05-27,12,completed,employed,19300.0,
34,17,17,2025-07-20,3,completed,employed,14800.0,
35,17,17,2025-10-18,6,completed,employed,14800.0,
36,17,17,2026-04-16,12,completed,employed,15100.0,
37,19,19,2025-09-27,3,completed,employed,17300.0,
38,19,19,2025-12-26,6,completed,employed,17900.0,
39,19,19,2026-06-24,12,completed,unemployed,,Commute / relocation issues
40,20,20,2025-09-09,3,completed,employed,16700.0,
41,20,20,2025-12-08,6,completed,employed,17200.0,
42,20,20,2026-06-06,12,completed,employed,17300.0,
43,22,21,2025-07-22,3,completed,employed,18700.0,
44,22,21,2025-10-20,6,completed,employed,19500.0,
45,22,21,2026-04-18,12,completed,employed,21200.0,
46,23,22,2025-09-02,3,completed,employed,15600.0,
47,23,22,2025-12-01,6,completed,employed,17100.0,
48,23,22,2026-05-30,12,completed,employed,18700.0,
49,25,24,2025-09-01,3,completed,employed,14400.0,
50,25,24,2025-11-30,6,completed,employed,14900.0,
51,25,24,2026-05-29,12,completed,employed,15600.0,
