placement_id,trainee_id,training_id,placement_type,employer_id,job_title,job_sector,start_date,source,verification_status,non_placement_reason_text
1,1,1,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-14,dashboard,confirmed,
2,2,2,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
3,3,3,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-06-07,dashboard,unverified,
4,4,4,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-06-29,dashboard,unverified,
5,5,5,not_placed,,,,,dashboard,unverified,Family responsibilities / not permitted to work
6,6,6,wage_employment,4.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-04-27,dashboard,unverified,
7,7,7,not_placed,,,,,dashboard,unverified,Wage offered too low
8,8,8,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-05-27,dashboard,confirmed,
9,9,9,self_employment,,IT/ITES Associate,IT/ITES,2025-06-26,dashboard,confirmed,
10,10,10,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-05-29,dashboard,unverified,
11,11,11,not_placed,,,,,dashboard,unverified,Wage offered too low
12,12,12,not_placed,,,,,dashboard,unverified,Pursuing further education
13,13,13,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-06-05,dashboard,confirmed,
14,14,14,wage_employment,2.0,IT/ITES Associate,IT/ITES,2025-05-19,dashboard,confirmed,
15,15,15,wage_employment,5.0,IT/ITES Associate,IT/ITES,2025-06-28,dashboard,unverified,
16,16,16,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-06-01,dashboard,confirmed,
17,17,17,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-21,dashboard,unverified,
18,18,18,not_placed,,,,,dashboard,unverified,Wage offered too low
19,19,19,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-06-29,dashboard,confirmed,
20,20,20,wage_employment,6.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-06-11,dashboard,unverified,
21,22,22,apprenticeship,2.0,IT/ITES Associate,IT/ITES,2025-04-23,dashboard,unverified,
22,23,23,apprenticeship,1.0,IT/ITES Associate,IT/ITES,2025-06-04,dashboard,unverified,
23,24,24,not_placed,,,,,dashboard,unverified,Wage offered too low
24,25,25,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-06-03,dashboard,confirmed,
25,26,26,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-05-23,dashboard,confirmed,
26,27,27,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-05-14,dashboard,disputed,
27,28,28,not_placed,,,,,dashboard,unverified,Wage offered too low
28,29,29,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-06-20,dashboard,confirmed,
29,30,30,not_placed,,,,,dashboard,unverified,No suitable openings in area
30,31,31,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-04-26,dashboard,unverified,
31,32,32,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
32,33,33,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
33,34,34,self_employment,,IT/ITES Associate,IT/ITES,2025-06-16,dashboard,unverified,
34,35,35,not_placed,,,,,dashboard,unverified,Health-related reasons
35,36,36,self_employment,,IT/ITES Associate,IT/ITES,2025-04-29,dashboard,confirmed,
36,37,37,not_placed,,,,,dashboard,unverified,Job location too far / relocation not feasible
37,38,38,not_placed,,,,,dashboard,unverified,Felt underprepared / skill mismatch
38,40,40,self_employment,,IT/ITES Associate,IT/ITES,2025-06-28,dashboard,confirmed,
39,41,41,self_employment,,IT/ITES Associate,IT/ITES,2025-05-14,dashboard,unverified,
40,42,42,wage_employment,5.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-06-05,dashboard,confirmed,
41,43,43,wage_employment,4.0,IT/ITES Helper (low-relevance role),IT/ITES,2025-04-25,dashboard,confirmed,
42,44,44,self_employment,,IT/ITES Associate,IT/ITES,2025-06-10,dashboard,confirmed,
43,45,45,apprenticeship,1.0,IT/ITES Associate,IT/ITES,2025-05-03,dashboard,confirmed,
44,47,47,self_employment,,IT/ITES Associate,IT/ITES,2025-05-22,dashboard,confirmed,
45,48,48,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-06-06,dashboard,unverified,
46,49,49,wage_employment,4.0,IT/ITES Associate,IT/ITES,2025-05-03,dashboard,unverified,
47,50,50,wage_employment,3.0,IT/ITES Associate,IT/ITES,2025-06-14,dashboard,unverified,
48,52,52,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-04-24,dashboard,confirmed,
49,53,53,wage_employment,1.0,IT/ITES Associate,IT/ITES,2025-05-27,dashboard,unverified,
50,55,55,wage_employment,6.0,IT/ITES Associate,IT/ITES,2025-06-13,dashboard,confirmed,
