reason_id,category,reason_code,reason_label,raw_text,linked_placement_id,linked_history_id
1,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,2,
2,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,5,
3,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,6,4.0
4,non_placement,low_wage,Wage offered too low,Wage offered too low,7,
5,non_placement,low_wage,Wage offered too low,Wage offered too low,11,
6,non_placement,further_study,Pursuing further education,Pursuing further education,12,
7,non_placement,low_wage,Wage offered too low,Wage offered too low,18,
8,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,19,13.0
9,non_placement,low_wage,Wage offered too low,Wage offered too low,23,
10,non_placement,low_wage,Wage offered too low,Wage offered too low,27,
11,non_placement,no_jobs_available,No suitable openings in area,No suitable openings in area,29,
12,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,31,
13,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,32,
14,non_placement,health,Health-related reasons,Health-related reasons,34,
15,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,36,
16,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,37,
17,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,38,24.0
18,attrition,family_reasons,Family circumstances changed,Family circumstances changed,53,39.0
19,non_placement,low_wage,Wage offered too low,Wage offered too low,56,
20,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,58,
21,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,59,43.0
22,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,60,
23,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,62,
24,non_placement,health,Health-related reasons,Health-related reasons,66,
25,non_placement,low_wage,Wage offered too low,Wage offered too low,69,
26,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,71,51.0
27,non_placement,further_study,Pursuing further education,Pursuing further education,72,
28,non_placement,low_wage,Wage offered too low,Wage offered too low,82,
29,non_placement,low_wage,Wage offered too low,Wage offered too low,87,
30,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,90,67.0
31,non_placement,health,Health-related reasons,Health-related reasons,92,
32,attrition,health,Health-related reasons,Health-related reasons,98,74.0
33,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,102,
34,non_placement,low_wage,Wage offered too low,Wage offered too low,107,
35,attrition,family_reasons,Family circumstances changed,Family circumstances changed,112,86.0
36,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,113,
37,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,129,102.0
38,non_placement,low_wage,Wage offered too low,Wage offered too low,131,
39,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,138,110.0
40,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,144,
41,attrition,family_reasons,Family circumstances changed,Family circumstances changed,145,116.0
42,non_placement,low_wage,Wage offered too low,Wage offered too low,149,
43,non_placement,further_study,Pursuing further education,Pursuing further education,153,
44,attrition,family_reasons,Family circumstances changed,Family circumstances changed,154,123.0
45,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,155,124.0
46,attrition,workplace_issues,Workplace conditions / employer issues,Workplace conditions / employer issues,157,126.0
47,attrition,family_reasons,Family circumstances changed,Family circumstances changed,159,128.0
48,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,164,
49,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,168,136.0
50,attrition,family_reasons,Family circumstances changed,Family circumstances changed,171,139.0
51,non_placement,low_wage,Wage offered too low,Wage offered too low,173,
52,non_placement,low_wage,Wage offered too low,Wage offered too low,174,
53,non_placement,further_study,Pursuing further education,Pursuing further education,175,
54,attrition,family_reasons,Family circumstances changed,Family circumstances changed,181,146.0
55,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,182,
56,attrition,workplace_issues,Workplace conditions / employer issues,Workplace conditions / employer issues,186,150.0
57,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,187,
58,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,191,154.0
59,non_placement,low_wage,Wage offered too low,Wage offered too low,194,
60,non_placement,low_wage,Wage offered too low,Wage offered too low,196,
61,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,200,
62,non_placement,low_wage,Wage offered too low,Wage offered too low,202,
63,non_placement,low_wage,Wage offered too low,Wage offered too low,206,
64,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,209,167.0
65,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,210,168.0
66,non_placement,health,Health-related reasons,Health-related reasons,212,
67,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,222,179.0
68,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,224,
69,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,228,
70,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,230,
71,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,236,190.0
72,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,240,194.0
73,attrition,location_mismatch,Commute / relocation issues,Commute / relocation issues,245,199.0
74,non_placement,further_study,Pursuing further education,Pursuing further education,247,
75,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,248,
76,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,250,202.0
77,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,252,
78,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,253,
79,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,255,
80,attrition,low_wage,Left due to low wage relative to workload,Left due to low wage relative to workload,259,208.0
81,attrition,skill_mismatch,Job did not match trained skillset,Job did not match trained skillset,269,218.0
82,non_placement,low_wage,Wage offered too low,Wage offered too low,270,
83,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,272,
84,non_placement,further_study,Pursuing further education,Pursuing further education,273,
85,non_placement,low_wage,Wage offered too low,Wage offered too low,279,
86,non_placement,location_mismatch,Job location too far / relocation not feasible,Job location too far / relocation not feasible,285,
87,attrition,family_reasons,Family circumstances changed,Family circumstances changed,286,230.0
88,attrition,family_reasons,Family circumstances changed,Family circumstances changed,287,231.0
89,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,289,
90,non_placement,skill_mismatch,Felt underprepared / skill mismatch,Felt underprepared / skill mismatch,292,
91,non_placement,further_study,Pursuing further education,Pursuing further education,298,
92,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,299,
93,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,302,
94,attrition,better_opportunity,Moved to a better opportunity,Moved to a better opportunity,303,242.0
95,non_placement,family_reasons,Family responsibilities / not permitted to work,Family responsibilities / not permitted to work,304,
