training_id,trainee_id,course_id,provider_id,cohort_id,start_date,end_date,completion_status,assessment_score,certification_id
1,1,1,2,1,2025-01-22,2025-04-16,completed,52.4,CERT-1
2,2,1,2,1,2025-01-22,2025-04-16,completed,69.0,CERT-2
3,3,1,2,1,2025-01-22,2025-04-16,completed,60.8,CERT-3
4,4,1,2,1,2025-01-22,2025-04-16,completed,53.8,CERT-4
5,5,1,2,1,2025-01-22,2025-04-16,completed,52.0,CERT-5
6,6,1,2,1,2025-01-22,2025-04-16,completed,50.1,CERT-6
7,7,1,2,1,2025-01-22,2025-04-16,completed,94.1,CERT-7
8,8,1,2,1,2025-01-22,2025-04-16,completed,53.7,CERT-8
9,9,1,2,1,2025-01-22,2025-04-16,completed,47.1,CERT-9
10,10,1,2,1,2025-01-22,2025-04-16,completed,97.3,CERT-10
11,11,1,2,1,2025-01-22,2025-04-16,completed,51.9,CERT-11
12,12,1,2,1,2025-01-22,2025-04-16,completed,50.9,CERT-12
13,13,1,2,1,2025-01-22,2025-04-16,completed,52.8,CERT-13
14,14,1,2,1,2025-01-22,2025-04-16,completed,88.3,CERT-14
15,15,1,2,1,2025-01-22,2025-04-16,completed,55.1,CERT-15
16,16,1,2,1,2025-01-22,2025-04-16,completed,89.2,CERT-16
17,17,1,2,1,2025-01-22,2025-04-16,completed,65.4,CERT-17
18,18,1,2,1,2025-01-22,2025-04-16,completed,84.8,CERT-18
19,19,1,2,1,2025-01-22,2025-04-16,completed,49.1,CERT-19
20,20,1,2,1,2025-01-22,2025-04-16,completed,59.5,CERT-20
21,21,1,2,1,2025-01-22,2025-04-16,dropped_out,73.6,
22,22,1,2,1,2025-01-22,2025-04-16,completed,79.5,CERT-22
23,23,1,2,1,2025-01-22,2025-04-16,completed,76.8,CERT-23
24,24,1,2,1,2025-01-22,2025-04-16,completed,49.6,CERT-24
25,25,1,2,1,2025-01-22,2025-04-16,completed,62.2,CERT-25
26,26,1,2,1,2025-01-22,2025-04-16,completed,74.2,CERT-26
27,27,1,2,1,2025-01-22,2025-04-16,completed,45.7,CERT-27
28,28,1,2,1,2025-01-22,2025-04-16,completed,84.2,CERT-28
29,29,1,2,1,2025-01-22,2025-04-16,completed,54.2,CERT-29
30,30,1,2,1,2025-01-22,2025-04-16,completed,76.5,CERT-30
31,31,1,2,1,2025-01-22,2025-04-16,completed,95.0,CERT-31
32,32,1,2,1,2025-01-22,2025-04-16,completed,60.3,CERT-32
33,33,1,2,1,2025-01-22,2025-04-16,completed,62.1,CERT-33
34,34,1,2,1,2025-01-22,2025-04-16,completed,54.9,CERT-34
35,35,1,2,1,2025-01-22,2025-04-16,completed,59.5,CERT-35
36,36,1,2,1,2025-01-22,2025-04-16,completed,93.9,CERT-36
37,37,1,2,1,2025-01-22,2025-04-16,completed,82.4,CERT-37
38,38,1,2,1,2025-01-22,2025-04-16,completed,76.3,CERT-38
39,39,1,2,1,2025-01-22,2025-04-16,dropped_out,52.6,
40,40,1,2,1,2025-01-22,2025-04-16,completed,81.7,CERT-40
41,41,1,2,1,2025-01-22,2025-04-16,completed,57.9,CERT-41
42,42,1,2,1,2025-01-22,2025-04-16,completed,65.4,CERT-42
43,43,1,2,1,2025-01-22,2025-04-16,completed,92.9,CERT-43
44,44,1,2,1,2025-01-22,2025-04-16,completed,57.0,CERT-44
45,45,1,2,1,2025-01-22,2025-04-16,completed,47.4,CERT-45
46,46,1,2,1,2025-01-22,2025-04-16,dropped_out,59.6,
47,47,1,2,1,2025-01-22,2025-04-16,completed,76.6,CERT-47
48,48,1,2,1,2025-01-22,2025-04-16,completed,67.3,CERT-48
49,49,1,2,1,2025-01-22,2025-04-16,completed,76.7,CERT-49
50,50,1,2,1,2025-01-22,2025-04-16,completed,74.8,CERT-50
51,51,1,2,1,2025-01-22,2025-04-16,dropped_out,59.5,
52,52,1,2,1,2025-01-22,2025-04-16,completed,52.6,CERT-52
53,53,1,2,1,2025-01-22,2025-04-16,completed,56.4,CERT-53
54,54,1,2,1,2025-01-22,2025-04-16,dropped_out,90.7,
55,55,1,2,1,2025-01-22,2025-04-16,completed,90.7,CERT-55
56,56,1,2,1,2025-01-22,2025-04-16,completed,55.3,CERT-56
57,57,1,2,1,2025-01-22,2025-04-16,completed,48.9,CERT-57
58,58,1,2,1,2025-01-22,2025-04-16,completed,72.8,CERT-58
59,59,1,2,1,2025-01-22,2025-04-16,completed,82.6,CERT-59
60,60,1,2,1,2025-01-22,2025-04-16,completed,91.4,CERT-60
61,61,1,2,1,2025-01-22,2025-04-16,completed,88.3,CERT-61
62,62,1,2,1,2025-01-22,2025-04-16,completed,74.4,CERT-62
63,63,1,2,1,2025-01-22,2025-04-16,completed,70.0,CERT-63
64,64,1,2,1,2025-01-22,2025-04-16,completed,46.0,CERT-64
65,65,1,2,1,2025-01-22,2025-04-16,completed,64.1,CERT-65
66,66,1,2,1,2025-01-22,2025-04-16,completed,47.3,CERT-66
67,67,1,2,1,2025-01-22,2025-04-16,completed,72.3,CERT-67
68,68,1,2,1,2025-01-22,2025-04-16,completed,90.7,CERT-68
69,69,1,2,2,2024-10-27,2025-01-19,completed,68.5,CERT-69
70,70,1,2,2,2024-10-27,2025-01-19,completed,64.7,CERT-70
71,71,1,2,2,2024-10-27,2025-01-19,completed,88.0,CERT-71
72,72,1,2,2,2024-10-27,2025-01-19,completed,90.1,CERT-72
